#Doc,Entidad,Jaccard,Jaccard,SpaCy,SpaCy,SorensenDice,SorensenDice
,,idElegida,resultado,idElegida,resultado,idElegida,resultado
203,Index Mapping,bn:01863098n,0.043478260869565216,bn:01863098n,0.738017480498249,bn:01863098n,0.08333333333333333
203,Technicals,bn:17052045n,0.0,bn:17052045n,0.6833573963124586,bn:17052045n,0.0
206,Yahoo,bn:00081801n,0.06666666666666667,bn:00547122n,0.8053559899900824,bn:00081801n,0.125
207,Credit Card,bn:00017800n,0.046875,bn:00017800n,0.7663300953004977,bn:00017800n,0.08955223880597014
207,Bank,bn:01813953n,0.016129032258064516,bn:00008363n,0.7607513389773848,bn:01813953n,0.031746031746031744
211,Hashtags,bn:01354049n,0.0392156862745098,bn:01354049n,0.6682165870929243,bn:01354049n,0.07547169811320754
222,Wikipedia,bn:02636476n,0.02531645569620253,bn:00570351n,0.8298273945050889,bn:02636476n,0.04938271604938271
222,AGROVOC,bn:03345959n,0.03225806451612903,bn:03345959n,0.8233401095653369,bn:03345959n,0.0625
233,Padel,bn:17126744n,0.024390243902439025,bn:17126744n,0.6233023853058878,bn:17126744n,0.047619047619047616
235,IATA,bn:03506373n,0.027777777777777776,bn:03506373n,0.7140799057650153,bn:03506373n,0.05405405405405406
235,ICAO,bn:00045701n,0.0,bn:00045701n,0.7542347938641373,bn:00045701n,0.0
237,Computer,bn:00021464n,0.04672897196261682,bn:00483985n,0.749388964585875,bn:00021464n,0.08928571428571429
237,Time Zones,bn:00077302n,0.022222222222222223,bn:00077302n,0.6579086924941563,bn:00077302n,0.043478260869565216
237,Signal,bn:00071525n,0.03669724770642202,bn:01547331n,0.8151741827836487,bn:00071525n,0.07079646017699115
245,Command,bn:00020945n,0.031914893617021274,bn:03575549n,0.8648981770603025,bn:00020945n,0.061855670103092786
253,Css,bn:01642119n,0.05555555555555555,bn:03213553n,0.8019481946719146,bn:01642119n,0.10526315789473684
257,Post,bn:01500184n,0.06666666666666667,bn:00052815n,0.8356542626743314,bn:01500184n,0.125
261,Webhook,bn:03046748n,0.010638297872340425,bn:03046748n,0.5733079299985946,bn:03046748n,0.021052631578947368
263,Microsoft,bn:01165400n,0.018867924528301886,bn:01165400n,0.698859755350435,bn:01165400n,0.037037037037037035
268,Currency Exchange,bn:00032131n,0.04,bn:00032131n,0.8523601874543694,bn:00032131n,0.07692307692307693
272,Best,bn:03796160n,0.019417475728155338,bn:01291147n,0.8867632941922201,bn:03796160n,0.0380952380952381
274,Coca,bn:00020228n,0.016666666666666666,bn:03230235n,0.8379426141656768,bn:00020228n,0.03278688524590164
281,OpenStreetMap,bn:02319226n,0.08163265306122448,bn:02319226n,0.6245407038440461,bn:02319226n,0.1509433962264151
288,CMC,bn:00811956n,0.0,bn:00811956n,0.7835199050348685,bn:00811956n,0.0
289,Google,bn:03088680n,0.05555555555555555,bn:00041092n,0.7352373479930918,bn:03088680n,0.10526315789473684
294,Google,bn:03088680n,0.01948051948051948,bn:03088680n,0.8506233031576118,bn:03088680n,0.03821656050955414
312,Recognition,bn:00066554n,0.023809523809523808,bn:03539903n,0.7648274229940617,bn:00066554n,0.046511627906976744
313,CSV,bn:03284335n,0.015544041450777202,bn:03284335n,0.7957132885322663,bn:03284335n,0.030612244897959183
315,Binder,bn:00010484n,0.023121387283236993,bn:00010484n,0.7569547063891656,bn:00010484n,0.04519774011299435
